MonthlyIncome,OverTime_Yes,Age,YearsInCurrentRole,JobRole_Sales Representative,TenureGroup_5+ Years,JobLevel,HighIncomeIndicator,Department_Sales,YearsAtCompany,StockOptionLevel,TotalWorkingYears,PromotionRate,JobRole_Manager,TenureGroup_3–5 Years,Attrition
-0.32468596447537434,1,41,-0.063295899399149,0,1,2,0,1,-0.1589259714981052,0,-0.42176637252497007,-0.8496739231794395,0,0,1
-0.32468596447537434,0,49,0.7649976209279952,0,1,2,0,0,0.5014872528191096,1,-0.160660216445077,-0.5284599637694553,0,0,0
-0.9926027710291797,1,37,-1.1676872598353414,0,0,1,0,0,-1.1495458079739274,0,-0.5523194505649166,-0.8496739231794395,0,0,1
-0.8010342665404504,1,33,0.7649976209279952,0,0,1,0,0,-0.3240292775774089,0,-0.42176637252497007,0.9170028535754736,0,1,0
-0.6702811603021114,0,27,-0.6154915796172451,0,0,1,0,0,-0.81933919581532,1,-0.6828725286048631,1.5058951124937778,0,0,0
-0.7638433114565579,0,32,0.7649976209279952,0,1,1,0,0,0.0061773345811984995,0,-0.42176637252497007,0.4753336593867454,0,0,0
-0.8569376518552322,1,59,-1.1676872598353414,0,0,1,0,0,-0.9844425018946237,3,0.10044593963481609,-0.8496739231794395,0,0,0
-0.8515578281638515,0,30,-1.1676872598353414,0,0,1,0,0,-0.9844425018946237,1,-1.335637918804596,-0.8496739231794395,0,0,0
0.7467176189319819,0,38,0.7649976209279952,0,1,3,1,0,0.3363839467398059,0,-0.160660216445077,-0.4963385678284568,0,0,0
-0.2565025468215714,0,36,0.7649976209279952,0,1,2,1,0,0.0061773345811984995,2,0.7532113298345487,2.2420104361416584,0,0,0
-0.9140105640594446,0,35,-0.063295899399149,0,0,1,0,0,-0.3240292775774089,1,-0.6828725286048631,-0.8496739231794395,0,1,0
-0.500699761334677,1,29,0.21280194070989908,0,1,2,0,0,0.3363839467398059,0,-0.160660216445077,-0.8496739231794395,0,0,0
-0.8005664557846781,0,31,-0.6154915796172451,0,0,1,0,0,-0.3240292775774089,1,-0.8134256066448097,1.5058951124937778,0,1,0
-0.8590428002562073,0,34,-0.6154915796172451,0,0,1,0,0,-0.81933919581532,1,-1.0745317627247029,0.32811059465716924,0,0,0
-1.0071049044581188,1,28,-0.6154915796172451,0,0,1,0,0,-0.3240292775774089,0,-0.160660216445077,-0.8496739231794395,0,1,1
0.8529106604922787,0,29,1.3171933011460915,0,1,3,1,0,0.5014872528191096,1,-0.160660216445077,1.7200377521004342,0,0,0
-0.7100450745427511,1,32,-0.6154915796172451,0,1,1,0,0,-0.1589259714981052,2,-0.5523194505649166,-0.8496739231794395,0,0,0
-0.7949527267154114,1,22,-1.1676872598353414,0,0,1,0,0,-0.9844425018946237,2,-1.335637918804596,-0.8496739231794395,0,0,0
2.126993253837955,0,53,1.0410954610370433,0,1,4,1,1,2.9780368440086646,0,2.5809544223938006,-0.4419792823898441,1,0,0
-0.32468596447537434,1,38,-0.6154915796172451,0,0,1,0,0,-0.6542358897360163,0,-0.6828725286048631,0.03366446519801711,0,0,0
-0.5432705401099501,0,24,-0.6154915796172451,0,0,2,0,0,-0.4891325836567126,1,-0.8134256066448097,-0.14300321247747416,0,1,0
-0.6845493883531645,0,36,-0.33939373950819707,1,0,1,0,1,-0.3240292775774089,0,-0.160660216445077,-0.8496739231794395,0,1,1
1.3239960915549172,0,34,0.48889978081894714,0,1,3,1,0,0.831693864977717,0,0.23099901767476264,-0.3060810687933123,0,0,0
-1.1932935852554676,0,21,-1.1676872598353414,0,0,1,0,0,-1.1495458079739274,0,-1.4661909968445423,-0.8496739231794395,0,0,0
-0.7891050922682584,0,34,-0.6154915796172451,0,0,1,0,0,-0.4891325836567126,0,-0.42176637252497007,-0.14300321247747416,0,1,1
